"configuration","problem","model","data_file","status","time","flatBoolVars","flatIntConstraints","initTime","eliminatedImplications","evaluatedHalfReifiedConstraints","solutions","restarts","variables","peakDepth","propagations","flatBoolConstraints","method","run","objective","paths","flatIntVars","failures","nSolutions","nodes","propagators","solveTime","flatTime"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta55_3a_alloc1.dzn","SATISFIED","601.4610776212066","39956","44563","0.527065","1600","41506","25","0","43063","305","3928039379","20725","minimize","results","1","0","3106","393584","25","791412","63687","596.736","3.26746"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta61_4a_alloc1.dzn","SATISFIED","602.1813837811351","53218","59340","0.792566","2100","55268","34","0","57339","397","3177185615","27600","minimize","results","619","0","4121","236090","34","480904","84839","595.373","4.63195"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta57_4a_alloc2.dzn","SATISFIED","601.4712662920356","39955","44563","0.537069","1600","41505","14","0","43063","319","4233663890","20725","minimize","results","179","0","3107","355619","14","713992","63687","596.816","3.18448"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta72_7a_alloc3.dzn","SATISFIED","605.9753663316369","206561","218772","","4200","210661","","","","","","105200","minimize","results","1782","0","8210","","30","","","","15.9554"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta48_2a_alloc3.dzn","OPTIMAL_SOLUTION","12.018943591043353","19907","23578","0.304024","1260","21137","98","0","22377","600","24013081","10560","minimize","results","-29972","0","2470","4992","98","35521","32877","8.96586","2.1261"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta71_6a_alloc3.dzn","SATISFIED","605.0750166159123","206526","218737","","4200","210626","","","","","","105200","minimize","results","-69113","0","8210","","299","","","","15.2742"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta76_5a_alloc3.dzn","OPTIMAL_SOLUTION","571.3028840199113","206558","218768","3.01081","4200","210658","214","0","214772","1666","852408986","105200","minimize","results","-19912","0","8214","29986","214","200447","319767","547.413","15.7467"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta53_4a_alloc2.dzn","OPTIMAL_SOLUTION","35.68414911441505","39956","44565","0.528111","1600","41506","166","0","43065","750","112474440","20725","minimize","results","-37381","0","3108","12271","166","77942","63689","31.0344","3.28484"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta72_7a_alloc3.dzn","OPTIMAL_SOLUTION","393.70575000718236","206561","218773","2.93118","4200","210661","172","0","214779","1505","555519744","105200","minimize","results","-13737","0","8218","22702","172","148799","319772","370.349","15.4918"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta72_6a_alloc3.dzn","SATISFIED","605.6747665721923","206561","218772","","4200","210661","","","","","","105200","minimize","results","-5269","0","8210","","1","","","","15.4221"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta51_5a_alloc2.dzn","SATISFIED","601.315162114799","39954","44585","0.515057","1600","41504","88","0","43084","283","2892455253","20725","minimize","results","68","0","3130","360548","88","731542","63709","597.047","2.95998"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta45_3a_alloc2.dzn","OPTIMAL_SOLUTION","8.66487137041986","19908","23576","0.294664","1260","21138","56","0","22378","600","19057714","10560","minimize","results","-10016","0","2470","3204","56","21462","32875","6.05919","1.80365"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta65_5a_alloc3.dzn","SATISFIED","602.1579167991877","53218","59328","0.72001","2100","55268","28","0","57328","300","2804420263","27600","minimize","results","-4067","0","4110","333662","28","670444","84827","595.723","4.28139"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta47_3a_alloc2.dzn","OPTIMAL_SOLUTION","232.74160802923143","19906","23573","0.283125","1260","21136","38","0","22373","207","1764063991","10560","minimize","results","0","0","2466","259736","38","524102","32872","230.329","1.65418"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta51_5a_alloc3.dzn","OPTIMAL_SOLUTION","35.87049740180373","39954","44586","0.542407","1600","41504","163","0","43085","750","104014583","20725","minimize","results","-37918","0","3131","11551","163","72639","63710","31.4224","3.04915"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta32_3a_alloc2.dzn","OPTIMAL_SOLUTION","6.754817757755518","14962","17730","0.213568","960","15892","74","0","16832","430","12693870","7935","minimize","results","-7075","0","1870","2766","74","18737","24704","4.55244","1.53521"
